conversation_id,slot0,slot1,slot2,slot3type,slot3
2114,Let's talk about politics.,This one kid in the deli had a Make America GRATE again T-shirt on!,That shirt slogan works really well in a deli.  I wonder what other pun-filled slogans there are for other jobs.,Answer.NonOpinion,"I know I guy that makes those custom made shirts, he says it's a pretty good business."
2114,Let's talk about politics.,This one kid in the deli had a Make America GRATE again T-shirt on!,That shirt slogan works really well in a deli.  I wonder what other pun-filled slogans there are for other jobs.,Answer.JokeSarcastic,"As long a there are people who still think GRATE is actually the way you spell GREAT, he'll make a lot of money on fixing shirts!"
2115,Let's talk about politics.,This one kid in the deli had a Make America GRATE again T-shirt on!,That's interesting.  Do you think he was political or just trying to be funny?,Answer.Negative,"He was just a kid! Of course it was not politics. If it were political, however, I would not like that."
2115,Let's talk about politics.,This one kid in the deli had a Make America GRATE again T-shirt on!,That's interesting.  Do you think he was political or just trying to be funny?,Answer.Positive,"He had a huge grin on his face, so I assume it was just a joke. He seemed like a jokester! I'm glad it made him happy!"
2116,Let's talk about politics.,This one kid in the deli had a Make America GRATE again T-shirt on!,I love the play on words.  Was he cutting the cheese?  Just kidding.  I think sloganed shirts can be a riot.,Answer.NonOpinion,They definitely can!  I have seen a lot of them lately. Some of them really crack me up!
2116,Let's talk about politics.,This one kid in the deli had a Make America GRATE again T-shirt on!,I love the play on words.  Was he cutting the cheese?  Just kidding.  I think sloganed shirts can be a riot.,Answer.JokeSarcastic,Better to be a riot than cause a riot! I'm joking.   But you never know these crazy days!
2117,Let's talk about politics.,Everyone I know is going crazy over the Comey Dismissal,It's a crazy situation. Firing the director of the FBI would be big news even if there wasn't an ongoing investigation.,Answer.Negative,Every day it seems there is political controversy in the news. It is like we don't know what to expect next!
2117,Let's talk about politics.,Everyone I know is going crazy over the Comey Dismissal,It's a crazy situation. Firing the director of the FBI would be big news even if there wasn't an ongoing investigation.,Answer.Positive,There is definitely a lot of change going on.   It is up to us to see the silver lining and keep the faith that all will work out.
2118,Let's talk about politics.,Everyone I know is going crazy over the Comey Dismissal,I love how so many positions flipped. Some people who were saying last week that Comey was terrible and improperly inserted himself into the election are now freaking out that he got ousted. Do they hate the guy or love him?,Answer.NonOpinion,He's been a lot more visible to the public than most FBI directors in the past.
2118,Let's talk about politics.,Everyone I know is going crazy over the Comey Dismissal,I love how so many positions flipped. Some people who were saying last week that Comey was terrible and improperly inserted himself into the election are now freaking out that he got ousted. Do they hate the guy or love him?,Answer.JokeSarcastic,"Too be honest, I think its a little from column A, a little from column B!"
2119,Let's talk about politics.,Everyone I know is going crazy over the Comey Dismissal,"Eh, that's all just scandal stuff. Have you seen the new Republican tax proposal?",Answer.Negative,I have been following the new Republican tax proposal  and I feel that it is unfair to give the middle class and wealthy a break.
2119,Let's talk about politics.,Everyone I know is going crazy over the Comey Dismissal,"Eh, that's all just scandal stuff. Have you seen the new Republican tax proposal?",Answer.Positive,The tax proposal will be awesome for a he middle to get a chance to save money and generate more money.
2120,Let's talk about politics.,Everyone I know is going crazy over the Comey Dismissal,"Well, all I know is that it takes a lot of heat off of me. Do svidaniya, Comey!",Answer.NonOpinion,"Donald Trump decided on Christopher Wray, who previously did legal work on behalf of people accused of white collar crimes, to replace Comey."
2120,Let's talk about politics.,Everyone I know is going crazy over the Comey Dismissal,"Well, all I know is that it takes a lot of heat off of me. Do svidaniya, Comey!",Answer.JokeSarcastic,"Oh, are you a Russian collaborator all of a sudden? Who are you, Paul Manafort?"
2121,Let's talk about politics.,"When I was at Whole Foods last night, there were more people watching MSNBC on their Lounge TV then were watching the game on Super Bowl Sunday!","Yes, it really does seem that given the surprising election results in 2016, more people are becoming actively involved in politics.",Answer.Negative,"And now watch, we are going to have every redneck and his dog thinking that they can be involved in the say on what goes on in this country. This country to going to fall apart, mark my words."
2121,Let's talk about politics.,"When I was at Whole Foods last night, there were more people watching MSNBC on their Lounge TV then were watching the game on Super Bowl Sunday!","Yes, it really does seem that given the surprising election results in 2016, more people are becoming actively involved in politics.",Answer.Positive,Isn't that fantastic though? We need more people involved in the election process. This way we can get a true perspective of what the people really need in this country.
2122,Let's talk about politics.,"When I was at Whole Foods last night, there were more people watching MSNBC on their Lounge TV then were watching the game on Super Bowl Sunday!","I agree. I myself have been volunteering more for Democratic organizations, and have seen a drastic increase in how many are writing letters to their state representatives.",Answer.NonOpinion,Writing letters is one way that citizens can communicate with their representatives.
2122,Let's talk about politics.,"When I was at Whole Foods last night, there were more people watching MSNBC on their Lounge TV then were watching the game on Super Bowl Sunday!","I agree. I myself have been volunteering more for Democratic organizations, and have seen a drastic increase in how many are writing letters to their state representatives.",Answer.JokeSarcastic,I imagine they're trying to figure out how the Democrats manage to lose so many elections. What's their secret?
2123,Let's talk about politics.,"When I was at Whole Foods last night, there were more people watching MSNBC on their Lounge TV then were watching the game on Super Bowl Sunday!","Speaking of Russia, have you heard about their efforts to regulate bitcoin? It's been in the news lately.",Answer.Negative,"What's Bitcoin? Honestly, it sounds like some kind of nerdy crap I wouldn't be into."
2123,Let's talk about politics.,"When I was at Whole Foods last night, there were more people watching MSNBC on their Lounge TV then were watching the game on Super Bowl Sunday!","Speaking of Russia, have you heard about their efforts to regulate bitcoin? It's been in the news lately.",Answer.Positive,"Yeah, I have heard about that. Bitcoin is used for buying stuff like drugs and pornography, right? Maybe regulation is for the best."
2124,Let's talk about politics.,"When I was at Whole Foods last night, there were more people watching MSNBC on their Lounge TV then were watching the game on Super Bowl Sunday!","Yeah, I'm SURE that writing to state representatives does SO MUCH, it's not like Russia FIXED the election or anything.",Answer.NonOpinion,"State representatives act like they will listen to you, but every time I've written, I've gotten no response."
2124,Let's talk about politics.,"When I was at Whole Foods last night, there were more people watching MSNBC on their Lounge TV then were watching the game on Super Bowl Sunday!","Yeah, I'm SURE that writing to state representatives does SO MUCH, it's not like Russia FIXED the election or anything.",Answer.JokeSarcastic,"Yeah, writing is kind of pointless, you'd get a better response by pissing on the senate steps."
2125,Let's talk about politics.,Politicians only care about one thing - getting re-elected or moving to a higher office because they have such cushy jobs at taxpayer expense.,"they perform really poorly once they are re elected especially if its going to be their last term in office,they are of the idea that after all i am not re contesting so who cares.",Answer.Negative,Politicians care only about themselves and how they can get the next dollar
2125,Let's talk about politics.,Politicians only care about one thing - getting re-elected or moving to a higher office because they have such cushy jobs at taxpayer expense.,"they perform really poorly once they are re elected especially if its going to be their last term in office,they are of the idea that after all i am not re contesting so who cares.",Answer.Positive,Politicians do dress so sharply though!  They can coordinate an outfit with no flaws.
2126,Let's talk about politics.,Politicians only care about one thing - getting re-elected or moving to a higher office because they have such cushy jobs at taxpayer expense.,"it is the masses who get fooled by their sweet talk and later complain and protest for change i do feel pity for, using their tax deduction to pay someone who's just not doing their job.",Answer.NonOpinion,People can express their dissatisfaction with politicians by voting them out of office.
2126,Let's talk about politics.,Politicians only care about one thing - getting re-elected or moving to a higher office because they have such cushy jobs at taxpayer expense.,"it is the masses who get fooled by their sweet talk and later complain and protest for change i do feel pity for, using their tax deduction to pay someone who's just not doing their job.",Answer.JokeSarcastic,"Yeah, those sheeple are stupid. But you, you're an independent thinker with all the answers!"
2127,Let's talk about politics.,Politicians only care about one thing - getting re-elected or moving to a higher office because they have such cushy jobs at taxpayer expense.,"i do not vote as to me its such a waste of time but this year i would cos i need to also have a say on who governs me, have you registered yet?",Answer.Negative,No I dont see the point.  My vote doesnt matter.  It is all about the electoral college.   I feel that it would be a waste of time as well.
2127,Let's talk about politics.,Politicians only care about one thing - getting re-elected or moving to a higher office because they have such cushy jobs at taxpayer expense.,"i do not vote as to me its such a waste of time but this year i would cos i need to also have a say on who governs me, have you registered yet?",Answer.Positive,Yes but you dont have a right to complain if you dont take part in the voting process. We all need to actively participate.
2128,Let's talk about politics.,Politicians only care about one thing - getting re-elected or moving to a higher office because they have such cushy jobs at taxpayer expense.,they be like 'please vote for me' and once their in they  like ' well thanks i would see you guys in the next four years for a third term',Answer.NonOpinion,Yup. So then we have to wait four long years before we have a chance to vote again.
2128,Let's talk about politics.,Politicians only care about one thing - getting re-elected or moving to a higher office because they have such cushy jobs at taxpayer expense.,they be like 'please vote for me' and once their in they  like ' well thanks i would see you guys in the next four years for a third term',Answer.JokeSarcastic,"Yeah, right, if we're lucky! It's more like a fourth or fifth or sixth term!"
2129,Let's talk about politics.,You know how you can tell when a politician is lying? When his lips are moving.,"Yeah, but what are you going to to do, if everybody thinks you need to be a slick liar to be a politician then honest people won't even bother with it.",Answer.Negative,"And why would they? Good people have worked hard to earn their merit, who would want to waste that all away as a politician?"
2129,Let's talk about politics.,You know how you can tell when a politician is lying? When his lips are moving.,"Yeah, but what are you going to to do, if everybody thinks you need to be a slick liar to be a politician then honest people won't even bother with it.",Answer.Positive,Maybe all we need if that one trend starter? The honest guy who will make the rest realize that this is what our country needs for leadership.
2130,Let's talk about politics.,You know how you can tell when a politician is lying? When his lips are moving.,"Yeah, they all do it. The trick now, though, is how do you tell when the news reporters are lying?",Answer.NonOpinion,I guess you can do your own research to find out the facts and hope for the best.
2130,Let's talk about politics.,You know how you can tell when a politician is lying? When his lips are moving.,"Yeah, they all do it. The trick now, though, is how do you tell when the news reporters are lying?",Answer.JokeSarcastic,"Well, at least when they are being quiet you know they are not capable of lying."
2131,Let's talk about politics.,You know how you can tell when a politician is lying? When his lips are moving.,I think a lot of politicians use the George Costanza method: It's not a lie if you believe it.,Answer.Negative,All politicians are crooks and it seems like they're getting more and more brazen with each passing day.
2131,Let's talk about politics.,You know how you can tell when a politician is lying? When his lips are moving.,I think a lot of politicians use the George Costanza method: It's not a lie if you believe it.,Answer.Positive,"You know, deep down, I do think most politicians really do have good intentions at heart and just want what's best for their country."
2132,Let's talk about politics.,You know how you can tell when a politician is lying? When his lips are moving.,"They know that people have figured that out, that's why they're moving to twitter now.",Answer.NonOpinion,Did you know that twitter has about thirty three million account users every single month?
2132,Let's talk about politics.,You know how you can tell when a politician is lying? When his lips are moving.,"They know that people have figured that out, that's why they're moving to twitter now.",Answer.JokeSarcastic,"No, I didn't. I wonder how many of those thirty three million tweeters are lying politicians?"
2133,Let's talk about politics.,politics makes my blood pressure go up when I watch the news,"I used to be able to watch normal news without too much trouble, but it seems like now every story involves somebody being outraged about something somebody else did.",Answer.Negative,I agree. The news stations are just selling us fake stories or over exaggerated stories for ratings. Half the time what we see and hear from them is lies.
2133,Let's talk about politics.,politics makes my blood pressure go up when I watch the news,"I used to be able to watch normal news without too much trouble, but it seems like now every story involves somebody being outraged about something somebody else did.",Answer.Positive,There are good stories lately also. Did you not see the piece on the 75 year old lady who re-homes kittens that have lost their mothers?
2134,Let's talk about politics.,politics makes my blood pressure go up when I watch the news,"Me too, but when I don't keep up to date it stresses me out to, I feel like I'm not being a good citizen.",Answer.NonOpinion,It is definitely one of those situations where you are dammed if you do and dammed if you don't.
2134,Let's talk about politics.,politics makes my blood pressure go up when I watch the news,"Me too, but when I don't keep up to date it stresses me out to, I feel like I'm not being a good citizen.",Answer.JokeSarcastic,Good citizen? What is a good citizen even these days? It seems that most people are only interested in themselves or other people's suffering.
2135,Let's talk about politics.,politics makes my blood pressure go up when I watch the news,"I've been trying to get more of my news on the internet, I feel like it's less produced and manipulative when I can consume things at my own pace.",Answer.Negative,"I feel a bit differently about most online news sources. In my eyes, the ultra low barrier to entry when it comes to posting things online instantly arouses my suspicions about the validity of the information that I have received."
2135,Let's talk about politics.,politics makes my blood pressure go up when I watch the news,"I've been trying to get more of my news on the internet, I feel like it's less produced and manipulative when I can consume things at my own pace.",Answer.Positive,"That being said, there are tons of credible, unbiased news sources online. Just make sure you research your sources before accepting anything as fact online."
2136,Let's talk about politics.,politics makes my blood pressure go up when I watch the news,The pharmaceutical companies probably pay them to make sure they get that result.,Answer.NonOpinion,You could be right. Did you see that piece on the news about the woman who saved a drowning child?
2136,Let's talk about politics.,politics makes my blood pressure go up when I watch the news,The pharmaceutical companies probably pay them to make sure they get that result.,Answer.JokeSarcastic,"Is that all the pharmaceutical companies do in all areas of life? Create fake illnesses just so they can ""cure"" them?"
2137,Let's talk about politics.,Many of the politicians who were so critical of Trump during the campaign quickly fell in line when he won the election because they wanted to get a Cabinet job or at least stay on his good side,You're right.  They seemed terrified of what he would do to them with all his late night tweets.,Answer.Negative,"No, I do not agree with that. I think that they were on his side in order to play the party line."
2137,Let's talk about politics.,Many of the politicians who were so critical of Trump during the campaign quickly fell in line when he won the election because they wanted to get a Cabinet job or at least stay on his good side,You're right.  They seemed terrified of what he would do to them with all his late night tweets.,Answer.Positive,"Yes, that is correct. He does seem to use Twitter a lot more than previous candidates."
2138,Let's talk about politics.,Many of the politicians who were so critical of Trump during the campaign quickly fell in line when he won the election because they wanted to get a Cabinet job or at least stay on his good side,I agree.  They really did just fall in line when he won the election.  And many of them were able to get Cabinet jobs or special favors.,Answer.NonOpinion,"Rex Tillerson ended up as Secretary and State, and Jeff Sessions became the Attorney General."
2138,Let's talk about politics.,Many of the politicians who were so critical of Trump during the campaign quickly fell in line when he won the election because they wanted to get a Cabinet job or at least stay on his good side,I agree.  They really did just fall in line when he won the election.  And many of them were able to get Cabinet jobs or special favors.,Answer.JokeSarcastic,"With how Trump's presidency is falling apart, they're going to regret it if they don't already!"
2139,Let's talk about politics.,Many of the politicians who were so critical of Trump during the campaign quickly fell in line when he won the election because they wanted to get a Cabinet job or at least stay on his good side,Right?  What about how Kelly Ann Conway deals with the media when talking about Trump?,Answer.Negative,"I know she is trying to be on Trump's side, but a little more objectivism would be nice on her part."
2139,Let's talk about politics.,Many of the politicians who were so critical of Trump during the campaign quickly fell in line when he won the election because they wanted to get a Cabinet job or at least stay on his good side,Right?  What about how Kelly Ann Conway deals with the media when talking about Trump?,Answer.Positive,I can't believe she keeps her cool so well while the media constantly berates her!
2140,Let's talk about politics.,Many of the politicians who were so critical of Trump during the campaign quickly fell in line when he won the election because they wanted to get a Cabinet job or at least stay on his good side,"Yea, they didn't want to be bumped off the way the Russians deal with their critics.",Answer.NonOpinion,I don't remember a time when political news dominated the media every day like it does now.
2140,Let's talk about politics.,Many of the politicians who were so critical of Trump during the campaign quickly fell in line when he won the election because they wanted to get a Cabinet job or at least stay on his good side,"Yea, they didn't want to be bumped off the way the Russians deal with their critics.",Answer.JokeSarcastic,"Yeah, because hiding on a remote tropical island is less attractive when it's already full of politicians."
2141,Let's talk about politics.,I find that I don't truly enjoy discussing or debating opposing political views with others.,"Yes, it's very frustrating. It never seems to lead to anything but acrimony and recrimination.",Answer.Negative,"I hate how people take things so personally in politics, it’s pointless to even try to have a discussion."
2141,Let's talk about politics.,I find that I don't truly enjoy discussing or debating opposing political views with others.,"Yes, it's very frustrating. It never seems to lead to anything but acrimony and recrimination.",Answer.Positive,"I guess so, but I think it’s a good think that people care enough about the topic to get emotionally invested in it."
2142,Let's talk about politics.,I find that I don't truly enjoy discussing or debating opposing political views with others.,"It's true, I don't enjoy it either. But I feel an obligation as a citizen, we all need to live together, you know?",Answer.NonOpinion,"Yes, as citizens we all need to pay attention to who our leaders are and what decisions they make and as all the commercials say we need to go and vote!!!!"
2142,Let's talk about politics.,I find that I don't truly enjoy discussing or debating opposing political views with others.,"It's true, I don't enjoy it either. But I feel an obligation as a citizen, we all need to live together, you know?",Answer.JokeSarcastic,"Yes, but as the last presidential election showed the candidate with the most votes doesn't always win the election."
2143,Let's talk about politics.,I find that I don't truly enjoy discussing or debating opposing political views with others.,I get a little worried that we're all isolating ourselves in social media silos. Sometimes it seems like people with different views don't even live in the same world.,Answer.Negative,I really don't have any interest in exchanging ideas with people whose heads of full of 'alternative facts.' It's just a waste of time.
2143,Let's talk about politics.,I find that I don't truly enjoy discussing or debating opposing political views with others.,I get a little worried that we're all isolating ourselves in social media silos. Sometimes it seems like people with different views don't even live in the same world.,Answer.Positive,You're right. It seems like people with different political views can't even talk to each other anymore. I don't think it's good for the country.
2144,Let's talk about politics.,I find that I don't truly enjoy discussing or debating opposing political views with others.,"But discussing politics is where you can get off the sickest burns, how could you pass up that opportunity?",Answer.NonOpinion,"Aristotle in his Politics did say that man is a political animal, since we're naturally social creatures."
2144,Let's talk about politics.,I find that I don't truly enjoy discussing or debating opposing political views with others.,"But discussing politics is where you can get off the sickest burns, how could you pass up that opportunity?",Answer.JokeSarcastic,The sickest burn I ever got off was when I spilled oil from the fryer on a coworker at McDonald's.
2145,Let's talk about politics.,"I can quickly find out if I like someone or not based on their political views, haha...","What people care about politically tells you a lot about who they are as people, doesn't it make a lot of sense that it's a good way to figure out who you'd want to be friends with?",Answer.Negative,"Honestly, I don't really care that much about politics, and I find people who do kind of boring."
2145,Let's talk about politics.,"I can quickly find out if I like someone or not based on their political views, haha...","What people care about politically tells you a lot about who they are as people, doesn't it make a lot of sense that it's a good way to figure out who you'd want to be friends with?",Answer.Positive,You're right. People with similar views do tend to have similar personalities.
2146,Let's talk about politics.,"I can quickly find out if I like someone or not based on their political views, haha...","I'm always amazed when I hear about romantic couples who are polar opposites politically, I can never figure out how something like that happens.",Answer.NonOpinion,James Carville and Mary Matalin are a famous couple on different sides of the political spectrum.
2146,Let's talk about politics.,"I can quickly find out if I like someone or not based on their political views, haha...","I'm always amazed when I hear about romantic couples who are polar opposites politically, I can never figure out how something like that happens.",Answer.JokeSarcastic,"C'mon, it's obviously the hate-sex. So much easier to put your arm into it when it's a climate change denier."
2147,Let's talk about politics.,"I can quickly find out if I like someone or not based on their political views, haha...","If you think about it, in such a large country there statistically have to be some pretty terrible people who agree with your politics, no matter what you believe.",Answer.Negative,"Well one political side definitely has way, way more terrible people than the other, regardless."
2147,Let's talk about politics.,"I can quickly find out if I like someone or not based on their political views, haha...","If you think about it, in such a large country there statistically have to be some pretty terrible people who agree with your politics, no matter what you believe.",Answer.Positive,You're right. There is good and bad present on both sides of the political spectrum.
2148,Let's talk about politics.,"I can quickly find out if I like someone or not based on their political views, haha...","Not me, it usually takes about three or four two-year terms in the House and then another six years in the Senate before I figure it out.",Answer.NonOpinion,It's pretty common for a politician to serve a few terms in the House before they move on to the Senate.
2148,Let's talk about politics.,"I can quickly find out if I like someone or not based on their political views, haha...","Not me, it usually takes about three or four two-year terms in the House and then another six years in the Senate before I figure it out.",Answer.JokeSarcastic,"Well, once they've been around that long, there's no way you're getting rid of them!"
2149,Let's talk about politics.,"Yikes-- maybe politics in history, instead of current politics.","We say that politics is pretty bitter nowadays, but have you ever looked at the kinds of things people said about each other in the post-Revolutionary era?",Answer.Negative,"No, I can't say that's something I've ever thought about. It just doesn't interest me."
2149,Let's talk about politics.,"Yikes-- maybe politics in history, instead of current politics.","We say that politics is pretty bitter nowadays, but have you ever looked at the kinds of things people said about each other in the post-Revolutionary era?",Answer.Positive,"Yeah, we think all of those Founding Fathers were gentlemen and all that, but they could be brutal!"
2150,Let's talk about politics.,"Yikes-- maybe politics in history, instead of current politics.",What do you think it is about politics that makes it so stressful to talk about?,Answer.NonOpinion,"It is just one of those things, like religion, that people hold very close to their chests, in a very personal and individualistic way, even if what they believe is something common that is shared by many over the political spectrum."
2150,Let's talk about politics.,"Yikes-- maybe politics in history, instead of current politics.",What do you think it is about politics that makes it so stressful to talk about?,Answer.JokeSarcastic,"Sure!  You know how the word politics came to be, right?  It's Greek: poli- for many, and tics, for, well, the small parasites that leech onto people.  Hahah!"
2151,Let's talk about politics.,"Yikes-- maybe politics in history, instead of current politics.","When I think about history I don't really think about politics much, I tend to think about the wars. I saw this really cool show about D-Day the other day.",Answer.Negative,I can't stand watching stuff about D-Day on television. They always feel like they have to include some kind of half-assed Saving Private Ryan homage.
2151,Let's talk about politics.,"Yikes-- maybe politics in history, instead of current politics.","When I think about history I don't really think about politics much, I tend to think about the wars. I saw this really cool show about D-Day the other day.",Answer.Positive,That sounds really cool. Can you imagine what it must have been like walking on to that beach?
2152,Let's talk about politics.,"Yikes-- maybe politics in history, instead of current politics.","Hey, if everybody thought that way then only freaks and weirdos would deal with politics. Wait, maybe that explains some things.",Answer.NonOpinion,I remember my father saying that only 16 year old boys and little old ladies get worked up about politics.
2152,Let's talk about politics.,"Yikes-- maybe politics in history, instead of current politics.","Hey, if everybody thought that way then only freaks and weirdos would deal with politics. Wait, maybe that explains some things.",Answer.JokeSarcastic,"That WOULD explain the clowns we've had in office, it's just a circus now, with no input from the audience."
2153,Let's talk about politics.,I began to dislike talking politics with friends as early as Grade 7.,Talking politics can be a sure way to ruin a friendship or get into a heated argument very quickly.,Answer.Negative,It makes me  question  friendships if they can be  ruined so easily  i mean how  solid  was it for a  silly fight to mess it up
2153,Let's talk about politics.,I began to dislike talking politics with friends as early as Grade 7.,Talking politics can be a sure way to ruin a friendship or get into a heated argument very quickly.,Answer.Positive,A good friendship  can get over  any  argument  political or  not and  hurt feelings can be  fixed easily enough
2154,Let's talk about politics.,I began to dislike talking politics with friends as early as Grade 7.,You must have been a very intelligent 7th grader.  Some people don't learn to be discreet about politics until much later in life.,Answer.NonOpinion,Politics is a conversation topic that can often lead people into heated discussions.
2154,Let's talk about politics.,I began to dislike talking politics with friends as early as Grade 7.,You must have been a very intelligent 7th grader.  Some people don't learn to be discreet about politics until much later in life.,Answer.JokeSarcastic,"Thankfully, I learned at an early age that people didn't appreciate my fondness for Adolf Hitler."
2155,Let's talk about politics.,I began to dislike talking politics with friends as early as Grade 7.,Did you go to school with very politically minded students?  7th graders nowadays seem so much more aware of the world.,Answer.Negative,They also seem to be glued to their smartphones and disregard respect for anyone who is older then they are.
2155,Let's talk about politics.,I began to dislike talking politics with friends as early as Grade 7.,Did you go to school with very politically minded students?  7th graders nowadays seem so much more aware of the world.,Answer.Positive,I agree. With the advent of technology our students are becoming brighter and more aware of what is going on in this world at a much earlier age.
2156,Let's talk about politics.,I began to dislike talking politics with friends as early as Grade 7.,7th grade can be rife with political turmoil.  Especially when it comes to student council elections!,Answer.NonOpinion,I really do not have an opinion on the matter and do not get involved in student council elections.
2156,Let's talk about politics.,I began to dislike talking politics with friends as early as Grade 7.,7th grade can be rife with political turmoil.  Especially when it comes to student council elections!,Answer.JokeSarcastic,"Oh yes, seventh grade politics can be so daunting and can really get heated."
2157,Let's talk about fashion.,A lot of the clothes and accessories we buy are made by children in sweatshops.,The children have to work long hours with little to no pay in horrible conditions.,Answer.Negative,I'm sure the children would rather be making those clothes than working in the fields from dawn to dusk.
2157,Let's talk about fashion.,A lot of the clothes and accessories we buy are made by children in sweatshops.,The children have to work long hours with little to no pay in horrible conditions.,Answer.Positive,"Yeah, it's really a shame. But we can do our part by not buying clothes made in sweatshops."
2158,Let's talk about fashion.,A lot of the clothes and accessories we buy are made by children in sweatshops.,The children barely have enough to eat and I don't think they get to sleep but 3 hours a night.,Answer.NonOpinion,"It happens in a lot of countries around the world. China and Bangaladesh, for instance."
2158,Let's talk about fashion.,A lot of the clothes and accessories we buy are made by children in sweatshops.,The children barely have enough to eat and I don't think they get to sleep but 3 hours a night.,Answer.JokeSarcastic,"So what should we do, start a communist revolution? Donate to Save the Children?"
2159,Let's talk about fashion.,A lot of the clothes and accessories we buy are made by children in sweatshops.,"I wonder if their parents know where their children are, or if the even care.",Answer.Negative,Probably not. People from countries like that often just have more children so they can provide more money for the household. It's a real shame.
2159,Let's talk about fashion.,A lot of the clothes and accessories we buy are made by children in sweatshops.,"I wonder if their parents know where their children are, or if the even care.",Answer.Positive,"Of course they do, well some of them anyways! Can you imagine a life where you have to send your 4 year old to work just in order to survive? It's not easy, I can imagine but most parents will do what it takes for the family to survive."
2160,Let's talk about fashion.,A lot of the clothes and accessories we buy are made by children in sweatshops.,Perhaps we need to start a child labor union making sure they at least get a recess.,Answer.NonOpinion,"There aren't any labor unions that represent child laborers, as far as I know."
2160,Let's talk about fashion.,A lot of the clothes and accessories we buy are made by children in sweatshops.,Perhaps we need to start a child labor union making sure they at least get a recess.,Answer.JokeSarcastic,"If the sweatshop is in a place like China, maybe it's better for their health if the kids stay inside!"
2161,Let's talk about fashion.,Fashonista hipsters are just people in skinny jeans drinking Pabst beer.,Do you think that about all fashionista hipsters?  Male and female?,Answer.Negative,Can you actually tell the difference anymore? They all look the same to me with their long hair and tight pants.
2161,Let's talk about fashion.,Fashonista hipsters are just people in skinny jeans drinking Pabst beer.,Do you think that about all fashionista hipsters?  Male and female?,Answer.Positive,I think the hipster approach to fashion is actually a breathe of fresh air. They have a very unique outlook on style and what goes together.
2162,Let's talk about fashion.,Fashonista hipsters are just people in skinny jeans drinking Pabst beer.,Wow.  Sounds like you don't have a very high regard for people who are really into fashion.,Answer.NonOpinion,"I didn’t mean to give that impression, I don’t judge anyone, I’m just noting a tendancy."
2162,Let's talk about fashion.,Fashonista hipsters are just people in skinny jeans drinking Pabst beer.,Wow.  Sounds like you don't have a very high regard for people who are really into fashion.,Answer.JokeSarcastic,"No, I just Love hipsters in skinny jeans. And Pabst beer is totally the drink of choice for classy people."
2163,Let's talk about fashion.,Fashonista hipsters are just people in skinny jeans drinking Pabst beer.,So I'm not really into fashionista hipsters much either.  But what about that new kink of cargo shorts that Target is carrying?  Do you like those?,Answer.Negative,Are you saying I'm some kind of neckbeard who wears cargo shorts year-round?
2163,Let's talk about fashion.,Fashonista hipsters are just people in skinny jeans drinking Pabst beer.,So I'm not really into fashionista hipsters much either.  But what about that new kink of cargo shorts that Target is carrying?  Do you like those?,Answer.Positive,"Yeah, now that's the sort of clothing I like: comfortable, roomy and cheap."
